Which occupation would best suit your son/daughter?,,,,,,,,
,,,,,,,,
,may.04,jun.06,jun.07,jul.10,may.14,may.15,may.16,may.18
Doctor,17,19,17,22,14,18,17,20
"Lawyer, economist, accountant",24,23,23,23,20,16,13,15
"Business owner, employer",14,16,17,17,13,13,10,15
"Programmer, tech specialist",18,21,20,23,15,11,17,15
"Soldier, officer",8,13,9,13,11,11,9,15
Financial director,11,11,13,14,11,10,11,12
Engineer,10,13,12,12,8,11,8,10
Athlete,8,10,7,8,8,10,5,9
"Politician, minister",4,5,6,5,5,4,3,7
"Professor, scientist, lecturer",6,6,7,8,5,7,7,6
Qualified trade,12,15,14,16,4,6,5,6
"Shop owner, sole trader",5,6,7,8,6,5,4,6
"Artist, musician, writer, journalist",6,8,7,8,5,7,5,5
Teacher,4,5,4,6,3,3,3,3
"Farmer, agri-worker",4,3,2,4,1,1,1,2
"Sociologist, social/political scientist",4,4,5,4,2,2,1,1
Priest,1,1,1,1,<1,<1,<1,1
Other,6,6,6,4,4,5,6,7
Don't know,15,12,13,12,20,23,18,15
,,,,,,,,
"??? “??????-?????” ??????? ? ?????? ?????????????? ???????????, ??????????? ??????? ???????????? ??????. ????????? ????????? ??????-??????, ?? ?????????? ? ?????? ????????, ??. ?????.",,,,,,,,
